NTACode,NTACode,NTACode,Civilian labor force estimates,Civilian labor force error,Unemployment estimates,Unemployment error,Employed estimates,Employed error,"Agriculture, forestry, fishing and hunting, and mining estimates","Agriculture, forestry, fishing and hunting, and mining error",Construction estimates,Construction error,Manufacturing estimates,Manufacturing error,Wholesale trade estimates,Wholesale trade error,Retail trade estimates,Retail trade error,"Transportation and warehousing, and utilities estimates","Transportation and warehousing, and utilities error",Information estimates,Information error,"Finance and insurance, and real estate and rental and leasing estimates","Finance and insurance, and real estate and rental and leasing error","Professional, scientific, and management, and administrative and waste management services estimates","Professional, scientific, and management, and administrative and waste management services error","Educational services, and health care and social assistance estimates","Educational services, and health care and social assistance error","Arts, entertainment, and recreation, and accommodation and food services estimates","Arts, entertainment, and recreation, and accommodation and food services error","Other services, except public administration estimates","Other services, except public administration error",Public administration estimates,Public administration error,Total households estimates,Total households error,"Less than 10,000 estimates","Less than 10,000 error","10,000 to 14,999 estimates","10,000 to 14,999 error","15,000 to 24,999 estimates","15,000 to 24,999 error","25,000 to 34,999 estimates","25,000 to 34,999 error","35,000 to 49,999 estimates","35,000 to 49,999 error","50,000 to 74,999 estimates","50,000 to 74,999 error","75,000 to 99,999 estimates","75,000 to 99,999 error","100,000 to 149,999 estimates","100,000 to 149,999 error","150,000 to 199,999 estimates","150,000 to 199,999 error","200,000 or more estimates","200,000 or more error"
BK09,BK09,BK09,14526,1497,446,294,14080,1471,53,113,212,235,360,308,255,272,722,395,178,173,1207,590,2579,775,3946,932,2850,889,781,428,565,389,372,278,11338,772,402,303,296,292,446,246,469,307,610,394,899,437,1231,518,1781,600,1570,556,3634,779
BK17,BK17,BK17,32882,4333,2250,1294,30632,4148,5,244,2048,1293,1140,890,670,608,2664,1494,2298,1218,987,760,2679,1232,3272,1508,9706,2713,2348,1457,1535,1011,1280,899,25741,1661,1741,1037,1976,1149,2506,1212,2111,1168,2914,1342,3763,1464,3027,1352,3848,1478,1967,1041,1888,954
BK19,BK19,BK19,15055,2388,893,659,14162,2276,48,149,1012,605,381,365,275,307,1369,768,1360,719,175,204,961,564,1454,785,5187,1479,949,606,677,472,314,273,14287,955,1423,689,2287,817,1667,714,1282,666,1408,698,2232,852,1165,619,1429,712,727,510,667,375
BK21,BK21,BK21,11879,2117,1529,773,10350,1921,23,123,734,541,347,334,289,327,772,559,1070,602,150,163,523,391,866,504,3249,1030,1113,640,635,447,579,404,11454,757,1665,658,1894,698,1855,748,1271,621,1195,622,1279,645,668,430,1060,521,279,215,288,265
BK23,BK23,BK23,7945,1107,358,305,7587,1062,0,58,343,242,171,147,129,166,738,463,565,356,175,171,937,514,831,455,2803,678,312,234,379,279,204,163,8390,366,596,323,1013,416,1157,473,747,363,1156,473,1342,469,1000,459,732,360,383,277,264,180
BK25,BK25,BK25,20203,3099,1274,851,18929,3078,13,197,1032,777,604,492,1488,960,2293,1059,1524,850,360,390,1741,892,1664,883,5339,1571,1497,1041,841,648,533,433,15707,1143,957,655,1218,757,1670,914,1624,850,1773,863,2350,1097,1694,856,2353,971,952,630,1116,684
BK26,BK26,BK26,14307,2398,1472,846,12835,2234,30,108,793,599,457,373,412,349,1274,757,1088,703,172,226,1395,694,1339,673,3698,1154,1153,647,558,419,466,369,11433,767,1056,563,1234,590,1634,703,954,539,1288,601,1346,677,1323,583,1477,661,606,444,515,384
BK27,BK27,BK27,16047,2318,934,565,15113,2219,6,128,1387,870,776,555,461,365,1520,718,1243,693,361,330,1306,690,1548,674,4127,1092,1103,626,668,498,607,433,11295,796,518,388,755,454,1332,688,937,518,1241,618,1559,703,1545,700,1945,778,827,502,636,377
BK28,BK28,BK28,45691,6657,3228,1888,42463,6282,95,357,4246,2419,2164,1370,1453,1134,4103,2111,2889,1626,981,847,3132,1618,4017,1820,10263,2982,5516,2730,2570,1607,1034,902,29892,2006,1897,1243,1922,1250,3630,1715,2973,1638,4200,1867,4604,1942,3599,1646,3702,1699,1880,1253,1485,1018
BK29,BK29,BK29,32313,4477,2134,1199,30179,4256,51,237,2600,1532,1585,1018,941,751,2809,1398,2406,1233,723,662,2252,1101,2904,1389,7749,2177,3578,1714,1712,1111,869,707,22457,1515,1690,972,1527,868,2842,1312,2086,1088,2684,1311,3604,1475,2459,1140,2984,1220,1443,873,1138,708
